host_neighbourhood,accommodates,bathrooms,bedrooms,price,review_scores_rating,square_feet,number_of_reviews,reviews_per_month
De Pijp,4,1,2,150,98,753,10,0.833333333
Jordaan,2,1,1,129,99,344,340,28.33333333
Oosterparkbuurt,4,1,3,250,91,0,71,5.916666667
Oost,3,1,2,140,86,538,11,0.916666667
Grachtengordel,2,1,1,89,96,1076,9,0.75
Oud-West,2,1,1,120,96,344,59,4.916666667
Oud-West,2,1,1,100,96,969,10,0.833333333
Jordaan,4,1.5,3,150,97,0,17,1.416666667
Grachtengordel,2,1,1,139,100,646,8,0.666666667
Grachtengordel,4,2,3,230,80,969,1,0.083333333
Oud-West,2,1,2,150,100,915,4,0.333333333
Grachtengordel,6,1,3,300,87,969,94,7.833333333
De Pijp,4,1,2,250,87,1023,37,3.083333333
Jordaan,2,1,1,150,100,0,8,0.666666667
Jordaan,4,1,1,90,89,0,210,17.5
Jordaan,2,1,1,150,91,700,14,1.166666667
Jordaan,4,1,1,65,84,0,202,16.83333333
Jordaan,4,2,3,120,100,1076,13,1.083333333
Grachtengordel,6,1,3,213,97,1615,23,1.916666667
Indische Buurt,2,1,1,150,,753,0,0
Oud-West,2,1,1,125,99,484,36,3
Grachtengordel,4,1,2,225,97,969,39,3.25
Oud-West,2,1,1,130,98,0,39,3.25
Grachtengordel,4,1.5,2,336,95,129,5,0.416666667
Oud-West,2,1,1,115,96,0,101,8.416666667
Grachtengordel,4,1.5,2,269,100,1076,13,1.083333333
Grachtengordel,2,1,1,105,100,807,22,1.833333333
Grachtengordel,2,1,1,99,93,0,38,3.166666667
Bos en Lommer,2,1,1,90,94,592,46,3.833333333
Indische Buurt,2,1,1,139,91,538,107,8.916666667
De Pijp,2,1,1,90,95,592,4,0.333333333
Oud-West,2,1,1,90,89,646,27,2.25
Oud-West,9,2,4,170,100,861,7,0.583333333
Oud-West,2,1,1,85,96,161,517,43.08333333
Oud-West,2,1,1,85,96,129,417,34.75
Grachtengordel,4,1.5,2,150,95,1345,4,0.333333333
Oud-West,5,1,1,145,86,969,144,12
De Pijp,4,1,2,110,88,646,24,2
Oud-West,4,1,2,139,86,70,0,0
De Pijp,2,1,1,99,94,0,9,0.75
De Pijp,2,1,1,147,94,700,29,2.416666667
Jordaan,2,1,1,199,97,753,2,0.166666667
Oosterparkbuurt,4,1,2,160,97,807,40,3.333333333
Indische Buurt,2,1,1,115,92,1453,0,0
Grachtengordel,2,1,2,125,95,700,21,1.75
Grachtengordel,2,1,1,100,85,0,12,1
Oud-West,2,1,1,139,90,560,49,4.083333333
Oosterparkbuurt,2,1,1,150,96,377,20,1.666666667
Oud-West,2,1,1,295,99,915,36,3
Bos en Lommer,4,1,2,90,94,80,13,1.083333333
Oud-West,3,1,1,108,92,753,17,1.416666667
Oud-West,2,1,1,120,95,0,74,6.166666667
Oud-West,2,1,1,70,95,0,56,4.666666667
Oud-West,3,1,2,95,93,0,50,4.166666667
Rivierenbuurt,3,1,2,250,100,0,2,0.166666667
Oud-West,2,1,1,98,92,0,23,1.916666667
Grachtengordel,2,1,1,110,97,215,111,9.25
Oud-West,2,1,1,121,100,624,5,0.416666667
Jordaan,2,1,1,149,100,538,6,0.5
Grachtengordel,2,1,1,90,90,55,4,0.333333333
Oud-West,2,1.5,1,130,98,915,24,2
Jordaan,2,1,1,175,100,70,9,0.75
Bos en Lommer,2,1,1,110,96,60,12,1
Oosterparkbuurt,4,1,1,156,92,0,84,7
Oosterparkbuurt,2,1,1,145,100,592,6,0.5
De Pijp,3,1,2,82,97,0,352,29.33333333
Grachtengordel,4,1,2,300,98,1238,91,7.583333333
Oud-West,2,1,1,85,90,538,3,0.25
Oud-West,2,1,1,135,93,592,95,7.916666667
Oud-West,2,1,1,125,93,301,55,4.583333333
Oud-West,2,1,1,125,97,50,108,9
Oud-West,4,2,2,290,98,120,164,13.66666667
Jordaan,2,1,1,160,93,1378,16,1.333333333
Indische Buurt,4,1,2,150,100,0,10,0.833333333
Bos en Lommer,2,1,2,130,97,1023,69,5.75
Oud-West,16,2,10,300,94,0,73,6.083333333
Oud-West,2,1,1,150,98,646,39,3.25
Oud-West,2,1,1,109,98,0,88,7.333333333
Oosterparkbuurt,4,1,2,219,96,85,53,4.416666667
Jordaan,4,1,1,190,100,915,1,0.083333333
Oud-West,4,1,1,250,99,700,177,14.75
Indische Buurt,4,1,1,228,92,484,43,3.583333333
De Pijp,2,1,1,225,96,1615,55,4.583333333
Grachtengordel,2,1,1,119,98,258,240,20
Oud-West,2,1,1,140,100,753,2,0.166666667
Oosterparkbuurt,16,4,12,80,90,0,52,4.333333333
Oud-West,2,1.5,1,135,95,0,145,12.08333333
Grachtengordel,2,1,1,150,98,0,25,2.083333333
Oud-West,4,1.5,2,165,99,0,27,2.25
Grachtengordel,4,1,2,250,92,0,37,3.083333333
Oud-West,3,1,1,167,100,527,1,0.083333333
Oud-West,4,1,2,200,95,861,570,47.5
De Pijp,2,1,1,110,90,538,4,0.333333333
De Pijp,2,1,1,200,100,624,74,6.166666667
Jordaan,4,1,1,150,97,0,38,3.166666667
Oud-West,3,1,2,150,90,0,68,5.666666667
Grachtengordel,2,1,1,130,98,215,430,35.83333333
Oosterparkbuurt,2,1,1,110,99,430,329,27.41666667
Oosterparkbuurt,2,1,1,95,95,269,8,0.666666667
Oud-West,2,1,1,129,99,753,33,2.75
De Pijp,2,1,1,125,97,753,372,31
Oosterparkbuurt,2,1,1,85,94,0,22,1.833333333
Jordaan,1,1.5,1,29,97,1012,53,4.416666667
Oud-West,4,1,2,300,97,0,74,6.166666667
Oud-West,2,1,1,110,100,753,5,0.416666667
Oost,4,1,3,143,97,1130,30,2.5
Oud-West,3,1,3,159,90,753,12,1
Jordaan,4,1,2,175,100,0,22,1.833333333
Oud-West,3,1,3,150,95,1023,0,0
Oosterparkbuurt,2,1.5,1,115,83,969,46,3.833333333
Oud-West,6,2,3,175,100,1615,10,0.833333333
De Pijp,12,1,3,420,100,0,4,0.333333333
Oud-West,4,1,1,200,96,700,58,4.833333333
Jordaan,2,1,1,195,97,1076,68,5.666666667
Jordaan,2,1,1,110,89,323,71,5.916666667
Oud-West,2,1,1,190,94,86,17,1.416666667
De Pijp,4,2,2,240,98,646,152,12.66666667
Bos en Lommer,4,1,1,180,99,0,62,5.166666667
Bos en Lommer,4,2.5,3,250,96,1076,246,20.5
Oud-West,2,1.5,2,180,91,0,94,7.833333333
Oosterparkbuurt,2,1,1,175,96,1615,8,0.666666667
Grachtengordel,2,1,1,160,93,323,129,10.75
Grachtengordel,4,1,2,300,98,1076,29,2.416666667
Oud-West,2,1,1,100,99,323,29,2.416666667
De Pijp,2,1.5,0,150,99,377,30,2.5
De Pijp,3,1,1,79,93,0,375,31.25
Oud-West,2,1,1,120,97,431,44,3.666666667
De Pijp,2,1,1,80,91,904,17,1.416666667
Oud-West,2,1,1,125,98,0,328,27.33333333
Indische Buurt,2,1,1,150,97,753,12,1
Oud-West,2,1,1,29,94,0,21,1.75
Oud-West,2,1,1,129,97,592,57,4.75
Oud-West,2,1,1,110,95,0,43,3.583333333
Oud-West,4,1,2,210,92,1076,51,4.25
Bos en Lommer,8,2,5,399,99,0,46,3.833333333
Oud-West,2,1,1,159,96,0,27,2.25
Grachtengordel,4,1,1,139,92,409,93,7.75
Oud-West,4,1,1,109,96,538,190,15.83333333
De Pijp,4,1,2,220,98,1399,45,3.75
Oud-West,4,1.5,1,185,97,2691,334,27.83333333
Jordaan,2,1,1,95,94,366,76,6.333333333
Jordaan,2,1,1,85,95,323,275,22.91666667
De Pijp,2,1,1,229,90,0,26,2.166666667
Rivierenbuurt,4,2,3,115,95,8,35,2.916666667
Jordaan,5,2,3,160,98,1938,11,0.916666667
Oost,2,1,1,79,95,0,60,5
Rivierenbuurt,6,2,3,240,94,0,23,1.916666667
Oud-West,2,1,1,159,95,0,29,2.416666667
Oud-West,2,1,1,76,88,0,187,15.58333333
Oud-West,4,2,3,109,93,2422,6,0.5
Oud-West,2,1,1,84,96,475,14,1.166666667
Oud-West,4,1,1,250,94,807,28,2.333333333
Rivierenbuurt,4,1,2,300,94,0,18,1.5
Oud-West,4,1,3,250,93,753,16,1.333333333
Indische Buurt,2,1,1,250,99,700,123,10.25
Oud-West,2,1,1,89,99,0,183,15.25
Oud-West,4,1.5,3,200,98,1184,10,0.833333333
Grachtengordel,4,1.5,4,110,95,1076,12,1
Oud-West,5,1,3,250,90,1076,2,0.166666667
Oost,2,1,1,90,75,700,12,1
Oud-West,4,1.5,2,200,96,1399,112,9.333333333
Oud-West,4,1,2,225,97,1238,13,1.083333333
Grachtengordel,2,1,1,125,96,969,53,4.416666667
Rivierenbuurt,4,2,3,325,97,1938,7,0.583333333
Oud-West,4,1,3,225,96,1076,27,2.25
Rivierenbuurt,2,1,1,179,97,915,23,1.916666667
Grachtengordel,5,1,1,275,98,1184,9,0.75
Bos en Lommer,1,1,1,129,100,0,6,0.5
Jordaan,4,1,1,115,95,904,73,6.083333333
Grachtengordel,2,1,1,379,97,1507,54,4.5
Jordaan,4,1.5,2,200,95,0,55,4.583333333
De Pijp,2,1.5,1,99,91,32,101,8.416666667
Bos en Lommer,2,1,1,98,94,301,25,2.083333333
Oud-West,2,1,1,85,88,0,17,1.416666667
Jordaan,2,1,1,150,98,377,297,24.75
Oud-West,4,1,2,200,99,1345,23,1.916666667
Oud-West,2,1,1,150,91,0,37,3.083333333
Grachtengordel,2,1,1,125,95,538,99,8.25
Oosterparkbuurt,2,1,1,110,99,388,147,12.25
Rivierenbuurt,4,1,2,275,100,0,3,0.25
Oud-West,2,1,1,145,98,0,14,1.166666667
Oud-West,2,1,1,65,92,0,183,15.25
Oud-West,6,1,2,58,94,0,288,24
De Pijp,2,1,1,90,94,624,10,0.833333333
Oud-West,4,1,2,199,92,1076,62,5.166666667
Grachtengordel,2,1,0,160,97,409,176,14.66666667
De Pijp,2,1,1,120,99,646,33,2.75
